,X1,X2,X3,X4,X5
2017-01-07 08:00:00,-1036.5236862720449,-3045.3716671045913,-682.6462334948783,-8580.944613884714,-6066.196591620404
2017-01-07 09:00:00,-1414.6545417166014,-3540.4139612207678,-819.3400841038074,-9253.563446775019,-6652.928456842525
2017-01-07 10:00:00,-1443.9956932581363,-3682.468247308795,-831.3750917272847,-9337.001865759654,-6830.255224200475
2017-01-07 11:00:00,-1417.6076956060424,-3640.598952555226,-823.4922772897851,-9326.301831627447,-6794.262417234586
2017-01-07 12:00:00,-1668.0949686836839,-3700.6447613347445,-914.5657981862246,-9783.303351707826,-6876.473520845939
2017-01-07 13:00:00,-1570.9435625880756,-3817.832384608604,-881.3918569649832,-9653.068784848365,-7024.959255955059
2017-01-07 14:00:00,-1561.8989796479839,-3842.1219461476544,-879.7076486996916,-9671.66548781652,-7065.699290952747
2017-01-07 15:00:00,-1198.097836873607,-3393.9036129947726,-751.2320191407921,-9091.002480936619,-6558.41181094057
2017-01-07 16:00:00,-1188.8579736949005,-3496.3024597593712,-749.4780169328142,-9109.269313812489,-6689.745120595095
2017-01-07 17:00:00,-1702.8831485862333,-3831.7288679958147,-934.7410438705247,-10011.442719223476,-7091.350137615462
2017-01-07 18:00:00,-1728.5620833308167,-3960.450436889385,-945.467160481564,-10088.694870711981,-7253.213256737074
2017-01-07 19:00:00,-1957.343807370697,-4303.495171737437,-1028.7830308535379,-10509.03107578159,-7663.654216285367
2017-01-07 20:00:00,-2075.9303631840057,-4110.043469303513,-1072.7147049032164,-10743.224071634815,-7451.852007755006
2017-01-07 21:00:00,-1855.4577457479268,-3965.999784066792,-995.4652667586431,-10404.673601158182,-7297.354562150989
2017-01-07 22:00:00,-1186.2121053802366,-3295.680711384005,-757.8225452811118,-9308.049505107869,-6532.4686002218405
2017-01-07 23:00:00,-436.3440814770252,-2574.755600422216,-491.3650596697669,-8075.236958624599,-5708.888377912929
2017-01-08 00:00:00,-384.8066933412552,-2285.1274498021057,-417.89326381998626,-7754.540920272714,-5385.538107447401
2017-01-08 01:00:00,-200.0,-1715.4053222928624,-205.0725158910962,-6775.2339779765925,-4737.327220157975
2017-01-08 02:00:00,-200.0,-1314.5074312923246,-97.19221654835263,-6291.911559944412,-4284.92327672422
2017-01-08 03:00:00,-200.0,-1104.1544392893545,-120.98268454822482,-5805.769478381934,-4053.518492602968
2017-01-08 04:00:00,-200.0,-1038.537451563066,-200.0,-5587.52390309496,-3989.982465061808
2017-01-08 05:00:00,-200.0,-1036.730725265023,-200.0,-5536.18836176599,-4000.4553152462804
2017-01-08 06:00:00,-200.0,-1485.9462224079107,-75.53796276777703,-6295.7935291329595,-4534.036014216455
2017-01-08 07:00:00,-106.3705250909738,-2169.569765709836,-271.6286442344167,-7249.142140603951,-5339.489544260923
2017-01-08 08:00:00,-564.9021647836917,-2826.4776942547155,-551.2474941844077,-8597.27350234919,-6113.957577276172
2017-01-08 09:00:00,-1013.1165608075032,-3473.5138742899035,-712.9894840680067,-9388.278425724378,-6876.976087721865
2017-01-08 10:00:00,-1046.7842552855368,-3496.349084121037,-726.5708155380755,-9479.025301150195,-6916.0293260302315
2017-01-08 11:00:00,-1119.5365849556197,-3122.7368521883263,-754.1211528217557,-9635.794485383052,-6495.272032530435
2017-01-08 12:00:00,-1117.0896457333274,-3488.6855703294714,-754.7949689565194,-9665.53601978676,-6932.277655207012
2017-01-08 13:00:00,-1203.5210077497584,-3454.7531201929496,-787.2342474170033,-9845.4120155151,-6905.490216619858
2017-01-08 14:00:00,-1098.5252196375598,-3349.6785702840743,-751.2566925134136,-9701.926609563627,-6796.190234668214
2017-01-08 15:00:00,-723.920228483184,-3438.0752678486624,-618.919724091098,-9103.013591891931,-6911.283470628568
2017-01-08 16:00:00,-852.1642165139874,-3257.408848991143,-666.3030032569042,-9353.52005642701,-6714.309981926563
2017-01-08 17:00:00,-1163.782918948562,-3474.8333749001195,-779.2251428723182,-9913.785636335171,-6979.0532045411965
2017-01-08 18:00:00,-1441.8016992173993,-3896.1452799124254,-880.1385351688994,-10417.29376088476,-7480.270557994909
2017-01-08 19:00:00,-1591.7976493917631,-3851.8551078429214,-935.2960530898524,-10704.543942093786,-7441.469951636672
2017-01-08 20:00:00,-1484.3893425603555,-4042.8912610905018,-898.4562542930194,-10556.983276002373,-7675.607221510128
2017-01-08 21:00:00,-1364.1336092435004,-3882.957484441158,-857.0247335987352,-10387.720558590021,-7502.680015455609
2017-01-08 22:00:00,-774.2133311339088,-3244.1782559648964,-647.7332156339245,-9425.093966610064,-6774.374823156921
2017-01-08 23:00:00,-111.85503046281511,-2310.330238048762,-353.24211580150313,-8059.784951890094,-5703.840818916091
2017-01-09 00:00:00,-146.47553125811132,-2112.6074431402576,-320.16794404920677,-7930.021929732966,-5487.0848811009455
2017-01-09 01:00:00,-200.0,-1377.1671630993728,-32.34309933784152,-6596.219921314047,-4646.6695706808705
2017-01-09 02:00:00,-200.0,-987.7241484539343,-200.0,-6063.609473779458,-4207.551304574735
2017-01-09 03:00:00,-200.0,-937.9332681153895,-200.0,-5964.762816705901,-4162.370827070764
2017-01-09 04:00:00,-200.0,-892.3985567329042,-200.0,-5659.225353261447,-4122.126770148649
2017-01-09 05:00:00,-200.0,-829.0461388592556,-200.0,-5550.026408298492,-4061.217252350183
2017-01-09 06:00:00,-200.0,-1170.0924737505877,-125.73710846515276,-6292.925164774059,-4469.340413244579
2017-01-09 07:00:00,-200.0,-1857.4713935853051,-156.2787698311521,-7341.323464742383,-5279.1495311899325
2017-01-09 08:00:00,-659.7964807392707,-2890.773361704205,-577.3729077805474,-8587.137016824696,-6125.294978909631
2017-01-09 09:00:00,-1660.6900179664294,-3466.337618832792,-900.0645920398019,-9511.439810970736,-6508.491363527452
2017-01-09 10:00:00,-1866.228993423757,-3931.196249975602,-947.2512799252395,-9283.823747575054,-6834.378026429587
2017-01-09 11:00:00,-2140.4578591777204,-4059.754304449149,-1036.5038566078276,-9555.4498389035,-6912.393480538216
2017-01-09 12:00:00,-2326.4351504999977,-4118.733030830983,-1076.6991199075253,-9294.789906877511,-6767.529584354725
2017-01-09 13:00:00,-2688.6868504055437,-4338.1122381402,-1197.4114115382563,-9715.105392641173,-6950.881883112932
2017-01-09 14:00:00,-2713.1405522819105,-4428.606819962398,-1197.393340070807,-9564.807806779678,-6984.750285787921
